Date,Close/Last,Volume,Open,High,Low
11/07/2022,10564.52,--,10516.94,10587.96,10428.91
11/04/2022,10475.25,--,10548.14,10553.63,10262.93
11/03/2022,10342.94,--,10399.45,10486.01,10319.54
11/02/2022,10524.8,--,10885.01,10993.24,10522.9
11/01/2022,10890.85,--,11154.74,11156.35,10881.19
10/31/2022,10988.15,--,11028.43,11047.94,10914
10/28/2022,11102.45,--,10766.2,11117.04,10766.2
10/27/2022,10792.67,--,10971.95,10998.73,10780.5
10/26/2022,10970.99,--,10969.02,11205.84,10948.38
10/25/2022,11199.12,--,10996.97,11210.38,10996.97
10/24/2022,10952.61,--,10867.07,10983.52,10713.33
10/21/2022,10859.72,--,10576.04,10875.72,10542.43
10/20/2022,10614.84,--,10657.41,10837.3,10574.55
10/19/2022,10680.51,--,10689.31,10808.04,10592.88
10/18/2022,10772.4,--,10963.99,10972.97,10670.12
10/17/2022,10675.8,--,10575.65,10696.59,10569.69
10/14/2022,10321.39,--,10742.81,10766.69,10308.81
10/13/2022,10649.15,--,10131.82,10697.71,10088.83
10/12/2022,10417.1,--,10437,10494.53,10372.21
10/11/2022,10426.19,--,10484.37,10608.84,10351.98
10/10/2022,10542.1,--,10659.95,10669.93,10449.04
10/07/2022,10652.4,--,10877.28,10891.93,10608.52
10/06/2022,11073.31,--,11129.04,11230.44,11051.27
10/05/2022,11148.64,--,11022.67,11210.32,10910.76
10/04/2022,11176.41,--,11054.72,11189.96,11044.04
10/03/2022,10815.43,--,10659.01,10875.46,10577.89
09/30/2022,10575.62,--,10697.71,10883.04,10572.33
09/29/2022,10737.51,--,10894.44,10899.47,10623.22
09/28/2022,11051.64,--,10817.52,11101.5,10776.34
09/27/2022,10829.5,--,10955.29,11040.98,10741.02
09/26/2022,10802.92,--,10833.38,11024,10789.05
09/23/2022,10867.93,--,10952.69,10958.29,10732.72
09/22/2022,11066.81,--,11167.38,11203.77,11024.64
09/21/2022,11220.19,--,11466.21,11613.57,11218.99
09/20/2022,11425.05,--,11440.14,11520.99,11343.72
09/19/2022,11535.02,--,11338.57,11538.13,11337.83
09/16/2022,11448.4,--,11401.21,11460.43,11316.92
09/15/2022,11552.36,--,11633.24,11760.73,11497.11
09/14/2022,11719.68,--,11680.41,11746.83,11602.76
09/13/2022,11633.57,--,11908.81,11957.97,11604.43
09/12/2022,12266.41,--,12174.94,12270.19,12169.28
09/09/2022,12112.31,--,11958.61,12132.67,11958.61
09/08/2022,11862.13,--,11679.86,11896.73,11660.53
09/07/2022,11791.9,--,11559.38,11819.07,11555.08
09/06/2022,11544.91,--,11643.03,11679.43,11471.5
09/02/2022,11630.86,--,11899.14,11945.91,11573.51
09/01/2022,11785.13,--,11707.44,11798.37,11546.52
08/31/2022,11816.2,--,11972.56,12027.43,11814.17
08/30/2022,11883.14,--,12093.06,12101.85,11790.02
08/29/2022,12017.67,--,12021.05,12124.87,11981.42
08/26/2022,12141.71,--,12630.58,12655.84,12141.52
08/25/2022,12639.27,--,12506.37,12641.26,12471.98
08/24/2022,12431.53,--,12375.15,12504.33,12350.16
08/23/2022,12381.3,--,12380.37,12490.85,12352.03
08/22/2022,12381.57,--,12523.16,12538.55,12353.73
08/19/2022,12705.22,--,12832.27,12859.01,12674.87
08/18/2022,12965.34,--,12937.79,13002.66,12873.49
08/17/2022,12938.12,--,12968.63,13053.51,12863.01
08/16/2022,13102.55,--,13082.64,13181.09,12979.24
08/15/2022,13128.05,--,12996.63,13146.06,12993.78
08/12/2022,13047.19,--,12866.31,13047.19,12821.22
08/11/2022,12779.91,--,12987.95,13026.24,12760.09
08/10/2022,12854.8,--,12793.44,12861.44,12698.61
08/09/2022,12493.93,--,12557.49,12582.91,12438.86
08/08/2022,12644.46,--,12703.72,12855.15,12597.75
08/05/2022,12657.55,--,12538.8,12720.44,12525.77
08/04/2022,12720.58,--,12675.04,12736.19,12600.78
08/03/2022,12668.16,--,12433.87,12699.64,12425.21
08/02/2022,12348.76,--,12479.78,12503.34,12260.48
08/01/2022,12368.98,--,12317.96,12499.72,12271.98
07/29/2022,12390.69,--,12239.69,12426.26,12181.13
07/28/2022,12162.59,--,12036.48,12179.09,11886.67
07/27/2022,12032.42,--,11756.19,12081.73,11718.38
07/26/2022,11562.57,--,11701.53,11711.31,11533.37
07/25/2022,11782.67,--,11837.96,11855.11,11707.53
07/22/2022,11834.11,--,12025.37,12093.02,11767.19
07/21/2022,12059.61,--,11914.15,12060.59,11812.72
07/20/2022,11897.65,--,11726.09,11939.96,11703.36
07/19/2022,11713.15,--,11515,11721.22,11448.97
07/18/2022,11360.05,--,11561.64,11629.03,11322.84
07/15/2022,11452.42,--,11379.36,11454.69,11295.33
07/14/2022,11251.19,--,11151.21,11279.97,11005.93
07/13/2022,11247.58,--,11056.55,11325.67,11031.27
07/12/2022,11264.73,--,11420.89,11483.17,11207.08
07/11/2022,11372.6,--,11524.49,11541.1,11348.06
07/08/2022,11635.31,--,11503.61,11689.7,11479.77
07/07/2022,11621.35,--,11422.6,11644.47,11412.88
07/06/2022,11361.85,--,11337.9,11443.15,11250.32
07/05/2022,11322.24,--,10964.18,11323.89,10911.45
07/01/2022,11127.85,--,11006.83,11132.55,10922.71
06/30/2022,11028.74,--,11048.25,11160.92,10850.01
